molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,target_pref_name,target_organism,activity_comment,assay_description,document_journal,document_year
CHEMBL382721,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,81000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide,J Med Chem,2005
CHEMBL436483,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,17700,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196070,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,114000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL193900,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,64000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL193900,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,12000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL194020,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,20000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL190083,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,280000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL200116,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,6700,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL199946,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,5.2,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL202877,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,6000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL425031,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,20000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL200014,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,9900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL202507,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,740,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL200077,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,180,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,J Med Chem,2006
CHEMBL204357,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,200,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL206766,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,6800,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL204443,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL381336,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,6000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL205400,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL205714,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,5000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL208230,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,74,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL424684,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,30,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL274414,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,160,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL208504,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,17,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL205970,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc4c(c3)OCO4)c2)C1=O,152,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL410532,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,54,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL208350,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O,17,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL382880,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,29,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL205907,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,15,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of beta-amyloid peptide production in CHO N9 cell line,Bioorg Med Chem Lett,2006
CHEMBL231446,CN1CCCC1CCNC(=O)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,530,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL396543,O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,16,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231548,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,180,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231547,O=C(NC1CCN(Cc2ccccc2)CC1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,140,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231449,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,120,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231448,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,540,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL396542,CN1CCN(C(=O)OC[C@H]2CC[C@@H](c3ccccc3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,450,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231351,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,650,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL395313,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231250,O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,73,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231248,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,60,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL395312,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,360,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL390889,O=C(NC1CCN(Cc2ccccc2)CC1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,190,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231647,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231545,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,180,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231035,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,1000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL230931,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,680,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL425304,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,880,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231125,CN1CCN(C(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c2ccc(Cl)cc2)CC1,780,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL390478,CN1CCN(C(=O)OCCC2CCc3ccccc3N2S(=O)(=O)c2ccc(Cl)cc2)CC1,1900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231544,O=C(NCCCn1ccnc1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,86,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL389549,O=C(NCCCn1ccnc1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,280,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL231447,CN1CCCC1CCNC(=O)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,220,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase,Bioorg Med Chem Lett,2007
CHEMBL240055,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,0.3,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240286,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,56,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240285,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,47,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL398395,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,46,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240284,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,17,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240071,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,14,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240070,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,12,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
CHEMBL240069,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,27,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,Bioorg Med Chem Lett,2007
